Row LabelsSum of Order Price,,,,,,,,,
"Grand Total1,199,708,905.01",,,,,,,,,
Row Labels,Sum of Order Price,,,,,,,,
FINGWA AND KHWESWA TRADING,2539308.86,,,,,,,,
FLIPSIDE TRADING (PTY) LTD,2071025.56,,,,,,,,
FRESH AND CLEAN LAUNDROMAT,2417554.58,,,,,,,,
GAILFORCE TRADING,2840626.03,,,,,,,,
GB IMMACULATE SOLUTIONS,2043481.09,,,,,,,,
GCIE TRADING AND SUPPLIERS,2125043.85,,,,,,,,
GILBERT CIVILS (PTY) LTD,2794339.32,,,,,,,,
GO ENTERPRISE COMPANY,1487134.55,,,,,,,,
GOBAMAGEZA TRADING,2133441.56,,,,,,,,
GOLDAN EVE TRADING (PTY) LTD,2578110.98,,,,,,,,
GROWORK ENTERPRISE (PTY) LTD,1930787.01,,,,,,,,
HAPPY REST TRADING ENTERPRISE,1931484.00,,,,,,,,
HG CONSULTANT (PTY) LTD,2044945.31,,,,,,,,
HLANZY HOLDINGS,1029640.06,,,,,,,,
HLUBI TRADING CC,2539429.07,,,,,,,,
ICE BREAKER GENERAL TRADING,2579524.27,,,,,,,,
IKATI EZIKO TRADING CC,1732681.46,,,,,,,,
IKUDA,2254771.84,,,,,,,,
IKWEZI LOMSO t/a SYRABRITE,2290997.86,,,,,,,,
ILAWU TRAINING SAMILA CONSTRUCTION JV,2234340.55,,,,,,,,
ILIQHAYIYA TRADING (PTY) LTD,3222548.92,,,,,,,,
INDAWO YAM BUSINESS SOLUTIONS,2043563.65,,,,,,,,
INVESTOREX R28 (PTY) LTD,1633381.13,,,,,,,,
IXESIBE BUILDING CONSTRUCTION,1782163.57,,,,,,,,
IZWELIBANZI CAPITAL (PTY) LTD,949099.87,,,,,,,,
JBO HOLDINGS,925795.37,,,,,,,,
KAAZI PROPERTIES (PTY)LTD,2337634.62,,,,,,,,
KAMVA NOMAZIZI INVESTMENT (PTY) LTD,1900127.52,,,,,,,,
KBT Holdings Pty Ltd,2882706.06,,,,,,,,
KHANICRAFT,2411091.51,,,,,,,,
KHULANI SKILLS DEVELOPMENT CENTRE,1426264.39,,,,,,,,
KHUMZI INVESTMENTS (PTY) LTD,2642191.79,,,,,,,,
KHUTHALA CONSULTING PTY LTD,1845904.73,,,,,,,,
KLEAR VISIONS FOUNDATION,1723580.73,,,,,,,,
KMR26 PROJECTS (PTY) LTD,2335227.26,,,,,,,,
KOL LOGISTICS,2847352.16,,,,,,,,
KONSTRUCT SGN (PTY) LTD,2412449.10,,,,,,,,
KUNGO PROJECTS,2672983.99,,,,,,,,
KUP'S TRADING (PTY)LTD,4066514.30,,,,,,,,
KWAKHIWE CONSTRUCTION,2078220.06,,,,,,,,
KWANDIE TRADING CC,1997649.12,,,,,,,,
KWANTANJANA TRADINGS (PTY) LTD,2958180.78,,,,,,,,
KWECHIBLO (PTY) LTD,1949017.64,,,,,,,,
L NGXABANI PROJECTS (PTY) LTD,2267244.86,,,,,,,,
LAKHAZA CONSTRUCTION CC,2171427.84,,,,,,,,
LAMBANO SAFETY WEAR AND EQUIPMENT (PTY) LTD,2018141.97,,,,,,,,
LATHITHA CONSTRUCTION AND SERVICES,1577969.42,,,,,,,,
LAUDE TRADING AND SERVICES,1499044.91,,,,,,,,
LBN TRADING ANTERPRISE (PTY) LTD,3206780.97,,,,,,,,
LELAM,3246455.55,,,,,,,,
LEPONDA TRADING (PTY) LTD,2093079.67,,,,,,,,
LF SETS INVESTMENT,1906991.61,,,,,,,,
LINAM0R2 PROJECTS (PTY) LTD,2346469.76,,,,,,,,
LINOTO DEVELOPERS CC,2071891.99,,,,,,,,
LIYATA CIVILS AND CONSTRUCTIONS,1045282.45,,,,,,,,
LIYEMA ADVERTISING & EVENTS PROMOTION,2308788.33,,,,,,,,
LOJA TRADING,2212965.44,,,,,,,,
LSI GENERAL TRADING LOGIS : SR1863,1836598.53,,,,,,,,
LUCOB HOLDINGS,2303522.33,,,,,,,,
LUGEBHU HOLDINGS,2236903.05,,,,,,,,
LUMDA TRADING ENTERPRISES,2065085.44,,,,,,,,
LUNGISA AT WORK,2027113.72,,,,,,,,
LWANDLE & DUMA CC,1464533.37,,,,,,,,
M A T TRADING ENTERPRISE,1653425.44,,,,,,,,
MABOZELA TRADING AND ENTERPRISE,1952007.55,,,,,,,,
MADO CONTRACTORS (PTY)LTD,1346488.42,,,,,,,,
MAFINCELA TRADING,3087825.11,,,,,,,,
MANDILA TRADING (PTY) LTD,1545595.62,,,,,,,,
MANKANTSANA BUSINESS SERVICES,2491114.91,,,,,,,,
MAPUBO CONSULTING AND INVESTMENT (PTY) LTD,1454820.79,,,,,,,,
MASALAMAHLE TRADING CC,2171650.65,,,,,,,,
MASIBA AND SON TRADING,1867928.51,,,,,,,,
MATSHATHULA AGENCIES AND PROJECTS,2036699.72,,,,,,,,
MATSHAYA INVESTMENTS,1912394.80,,,,,,,,
MAYOLI TRADING ENTERPRISE,2145241.45,,,,,,,,
MBONZA ENTERPRISE,2043092.53,,,,,,,,
MERIDIAN HYGIENE (PTY) LTD,1731870.19,,,,,,,,
MIGCOBO INVESTMENTS PTY,2199167.45,,,,,,,,
MILANAM BUSINESS DEVELOPMENTS CC,1556278.79,,,,,,,,
MILISOKUHLE INVESTMENTS (PTY) LTD,1209388.39,,,,,,,,
MIXIFUSION(PTY) LTD,2499109.03,,,,,,,,
MKHIWA TRADING ENTERPRISE (allegations of poor quality),2615261.35,,,,,,,,
MLP HOSPITALITY SERVICES (PTY) LTD,2753459.99,,,,,,,,
MOPELIPA TRADING,1585982.95,,,,,,,,
MQK CIVILS & PROJECT MANAGERS (PTY) LTD,1483284.92,,,,,,,,
MQOQE CLEANING &TRADING ENTERPRISE,2392607.63,,,,,,,,
MSHENGU PROJECTS AND CONSULTANCY,2117831.16,,,,,,,,
MSIDWE (PTY) LTD,2329143.57,,,,,,,,
MTAWELANGA TRADING,3160567.00,,,,,,,,
MTHETHUYANDA TRADING ENTERPRISE,1787958.75,,,,,,,,
MTHOMKHULU PROJECTS,1561566.73,,,,,,,,
MTIKA JOTELA CONTRACTORS,1781187.53,,,,,,,,
MZUKS PROPERTIES,2011844.13,,,,,,,,
NAKEDE MANAGEMENT SERVICES,2723910.56,,,,,,,,
NAKO DELIVERY SERVICES (PTY) LTD,1946652.67,,,,,,,,
NALUBOKO (PTY) LTD,1911658.98,,,,,,,,
NCD HOLDINGS,1674279.86,,,,,,,,
NCILASHE HOSPITALITIES (PTY)LTD,665587.34,,,,,,,,
NDEX CONSULTING,1953050.08,,,,,,,,
NDOKOSE TRADING & PROJECTS PTY LTD,2139998.07,,,,,,,,
NDONGENI CONSTRUCTION,1776763.50,,,,,,,,
NDZAMELA CONSTRUCTION,1945546.89,,,,,,,,
NEW HORIZONS 0R92,2239154.22,,,,,,,,
NEWLITIME PTY LTD,3421202.92,,,,,,,,
NEZAMNA PROJECT (PTY) LTD,1946582.73,,,,,,,,
NGUBANE PROJECTS (PTY) LTD,1946582.73,,,,,,,,
NGUTA - MABE SOLUTIONS (PTY) LTD,2059185.06,,,,,,,,
NGXIVA CONSTRUCTION,1865893.50,,,,,,,,
NMN GENERAL DEALERS (canceled),2132980.21,,,,,,,,
NMV HOLDINGS,2119386.59,,,,,,,,
NOBUPAT (PTY) LTD,1778421.18,,,,,,,,
NOROTONE (PTY) LTD,2087387.94,,,,,,,,
NTINGA PROFESSIONALS,1904221.96,,,,,,,,
NUTIGEN,1306528.55,,,,,,,,
OGU YONKE CATERING AND CONSTRUCTION CC,1710370.58,,,,,,,,
OKMAN TRADING,1822817.28,,,,,,,,
OVAYO INVESTMENTS,1457847.90,,,,,,,,
OYISII ENGINEERING & PROJECTS,1883142.07,,,,,,,,
PAKAMA GENERAL TRADING,3545901.03,,,,,,,,
PELE G TRADING R2012,1718220.74,,,,,,,,
PHATHILIZWI TRAINING INSTITUTE,2032665.71,,,,,,,,
PHATU AND THINA TRADING,3740988.74,,,,,,,,
PHOTUXOLO TRADING,643571.22,,,,,,,,
PIXITYPE LTD,2222865.49,,,,,,,,
PRECISE ESTATE AGENTS,1719371.43,,,,,,,,
QOONCE EVENTS AND ENTERTAINMENT,2034980.32,,,,,,,,
QUICK PROTECTION AND HYGIENE SERVICES (PTY) LTD,1164198.99,,,,,,,,
RIETU TRADING (PTY) LTD,1917980.44,,,,,,,,
RUTISYNC (PTY) LTD,3182602.94,,,,,,,,
SAGINGQA,1902911.71,,,,,,,,
SALAISO SUPPLIERS,1762325.48,,,,,,,,
SAM SAM TRADING (PTY)LTD,2069116.28,,,,,,,,
SEBENZA MKHONTO,2253025.32,,,,,,,,
Shabar Holdings (PTY) LTD,1566680.43,,,,,,,,
SHARON DIVERSIFIED (PTY) LTD,2047773.56,,,,,,,,
SHEMUNTU AND SONS,1980096.04,,,,,,,,
SIDIKI APHIWE GROUP (PTY) LTD,1247198.25,,,,,,,,
SIME & MZWIDA,2078376.62,,,,,,,,
SISASESONKE TRADING AND PROJECTS (PTY) LTD,1439315.84,,,,,,,,
SIVUYOLO INVESTMENTS,2120040.66,,,,,,,,
SMALL BIRD BUS SERVICES,1757539.86,,,,,,,,
SOKHULU PROMOTIONS,2151971.71,,,,,,,,
SOYAMBA TRADING ENTERPRISE,2547533.22,,,,,,,,
SPICE J GENERAL TRADING (PTY) LTD,1821464.15,,,,,,,,
SPINDRIFT TRADING R12,1601990.62,,,,,,,,
